ds,y
2021-09-14 18:00:00,530
2021-09-14 19:00:00,648
2021-09-14 20:00:00,762
2021-09-14 21:00:00,867
2021-09-14 22:00:00,966
2021-09-14 23:00:00,791
2021-09-15 00:00:00,465
2021-09-15 01:00:00,278
2021-09-15 02:00:00,183
2021-09-15 03:00:00,142
2021-09-15 04:00:00,136
2021-09-15 05:00:00,137
2021-09-15 06:00:00,200
2021-09-15 07:00:00,286
2021-09-15 08:00:00,420
2021-09-15 09:00:00,488
2021-09-15 10:00:00,682
2021-09-15 11:00:00,598
2021-09-15 12:00:00,641
2021-09-15 13:00:00,607
2021-09-15 14:00:00,574
2021-09-15 15:00:00,587
2021-09-15 16:00:00,617
2021-09-15 17:00:00,513
2021-09-15 18:00:00,544
2021-09-15 19:00:00,593
2021-09-15 20:00:00,707
2021-09-15 21:00:00,879
2021-09-15 22:00:00,916
2021-09-15 23:00:00,742
2021-09-16 00:00:00,494
2021-09-16 01:00:00,279
2021-09-16 02:00:00,193
2021-09-16 03:00:00,122
2021-09-16 04:00:00,132
2021-09-16 05:00:00,142
2021-09-16 06:00:00,213
2021-09-16 07:00:00,332
2021-09-16 08:00:00,419
2021-09-16 09:00:00,428
2021-09-16 10:00:00,580
2021-09-16 11:00:00,596
2021-09-16 12:00:00,591
2021-09-16 13:00:00,572
2021-09-16 14:00:00,492
2021-09-16 15:00:00,540
2021-09-16 16:00:00,525
2021-09-16 17:00:00,514
2021-09-16 18:00:00,493
2021-09-16 19:00:00,542
2021-09-16 20:00:00,758
2021-09-16 21:00:00,828
2021-09-16 22:00:00,861
2021-09-16 23:00:00,672
2021-09-17 00:00:00,429
2021-09-17 01:00:00,275
2021-09-17 02:00:00,148
2021-09-17 03:00:00,157
2021-09-17 04:00:00,137
2021-09-17 05:00:00,120
2021-09-17 06:00:00,210
2021-09-17 07:00:00,296
2021-09-17 08:00:00,417
2021-09-17 09:00:00,436
2021-09-17 10:00:00,498
2021-09-17 11:00:00,527
2021-09-17 12:00:00,520
2021-09-17 13:00:00,520
2021-09-17 14:00:00,512
2021-09-17 15:00:00,549
2021-09-17 16:00:00,577
2021-09-17 17:00:00,526
2021-09-17 18:00:00,474
2021-09-17 19:00:00,575
2021-09-17 20:00:00,700
2021-09-17 21:00:00,823
2021-09-17 22:00:00,778
2021-09-17 23:00:00,653
2021-09-18 00:00:00,471
2021-09-18 01:00:00,247
2021-09-18 02:00:00,174
2021-09-18 03:00:00,107
2021-09-18 04:00:00,71
2021-09-18 05:00:00,139
2021-09-18 06:00:00,214
2021-09-18 07:00:00,287
2021-09-18 08:00:00,349
2021-09-18 09:00:00,462
2021-09-18 10:00:00,478
2021-09-18 11:00:00,501
2021-09-18 12:00:00,517
2021-09-18 13:00:00,486
2021-09-18 14:00:00,575
2021-09-18 15:00:00,554
2021-09-18 16:00:00,525
2021-09-18 17:00:00,549
2021-09-18 18:00:00,474
2021-09-18 19:00:00,557
2021-09-18 20:00:00,679
2021-09-18 21:00:00,795
2021-09-18 22:00:00,833
2021-09-18 23:00:00,693
2021-09-19 00:00:00,480
2021-09-19 01:00:00,283
2021-09-19 02:00:00,169
2021-09-19 03:00:00,122
2021-09-19 04:00:00,96
2021-09-19 05:00:00,157
2021-09-19 06:00:00,239
2021-09-19 07:00:00,285
2021-09-19 08:00:00,389
2021-09-19 09:00:00,468
2021-09-19 10:00:00,494
2021-09-19 11:00:00,519
2021-09-19 12:00:00,523
2021-09-19 13:00:00,465
2021-09-19 14:00:00,518
2021-09-19 15:00:00,580
2021-09-19 16:00:00,554
2021-09-19 17:00:00,569
2021-09-19 18:00:00,526
2021-09-19 19:00:00,635
2021-09-19 20:00:00,801
2021-09-19 21:00:00,872
2021-09-19 22:00:00,828
2021-09-19 23:00:00,666
2021-09-20 00:00:00,406
2021-09-20 01:00:00,259
2021-09-20 02:00:00,216
2021-09-20 03:00:00,151
2021-09-20 04:00:00,99
2021-09-20 05:00:00,125
2021-09-20 06:00:00,196
2021-09-20 07:00:00,326
2021-09-20 08:00:00,361
2021-09-20 09:00:00,534
2021-09-20 10:00:00,464
2021-09-20 11:00:00,557
2021-09-20 12:00:00,515
2021-09-20 13:00:00,551
2021-09-20 14:00:00,491
2021-09-20 15:00:00,461
2021-09-20 16:00:00,570
2021-09-20 17:00:00,527
2021-09-20 18:00:00,471
2021-09-20 19:00:00,495
2021-09-20 20:00:00,772
2021-09-20 21:00:00,809
2021-09-20 22:00:00,877
2021-09-20 23:00:00,724
2021-09-21 00:00:00,481
2021-09-21 01:00:00,272
2021-09-21 02:00:00,191
2021-09-21 03:00:00,125
2021-09-21 04:00:00,133
2021-09-21 05:00:00,146
2021-09-21 06:00:00,227
2021-09-21 07:00:00,403
2021-09-21 08:00:00,420
2021-09-21 09:00:00,480
2021-09-21 10:00:00,498
2021-09-21 11:00:00,582
2021-09-21 12:00:00,497
2021-09-21 13:00:00,539
2021-09-21 14:00:00,578
2021-09-21 15:00:00,599
2021-09-21 16:00:00,596
2021-09-21 17:00:00,544
2021-09-21 18:00:00,528
2021-09-21 19:00:00,553
2021-09-21 20:00:00,721
2021-09-21 21:00:00,859
2021-09-21 22:00:00,834
2021-09-21 23:00:00,650
2021-09-22 00:00:00,480
2021-09-22 01:00:00,270
2021-09-22 02:00:00,177
2021-09-22 03:00:00,148
2021-09-22 04:00:00,71
2021-09-22 05:00:00,93
2021-09-22 06:00:00,165
2021-09-22 07:00:00,291
2021-09-22 08:00:00,427
2021-09-22 09:00:00,428
2021-09-22 10:00:00,593
2021-09-22 11:00:00,648
2021-09-22 12:00:00,626
2021-09-22 13:00:00,588
2021-09-22 14:00:00,591
2021-09-22 15:00:00,584
2021-09-22 16:00:00,618
2021-09-22 17:00:00,629
2021-09-22 18:00:00,600
2021-09-22 19:00:00,642
2021-09-22 20:00:00,789
2021-09-22 21:00:00,890
2021-09-22 22:00:00,916
2021-09-22 23:00:00,787
2021-09-23 00:00:00,456
2021-09-23 01:00:00,278
2021-09-23 02:00:00,205
2021-09-23 03:00:00,147
2021-09-23 04:00:00,146
2021-09-23 05:00:00,145
2021-09-23 06:00:00,223
2021-09-23 07:00:00,327
2021-09-23 08:00:00,374
2021-09-23 09:00:00,508
2021-09-23 10:00:00,610
2021-09-23 11:00:00,584
2021-09-23 12:00:00,664
2021-09-23 13:00:00,628
2021-09-23 14:00:00,599
2021-09-23 15:00:00,532
2021-09-23 16:00:00,554
2021-09-23 17:00:00,628
2021-09-23 18:00:00,572
2021-09-23 19:00:00,652
2021-09-23 20:00:00,805
2021-09-23 21:00:00,952
2021-09-23 22:00:00,924
2021-09-23 23:00:00,785
2021-09-24 00:00:00,484
2021-09-24 01:00:00,314
2021-09-24 02:00:00,134
2021-09-24 03:00:00,103
2021-09-24 04:00:00,123
2021-09-24 05:00:00,141
2021-09-24 06:00:00,260
2021-09-24 07:00:00,305
2021-09-24 08:00:00,440
2021-09-24 09:00:00,484
2021-09-24 10:00:00,577
2021-09-24 11:00:00,562
2021-09-24 12:00:00,619
2021-09-24 13:00:00,567
2021-09-24 14:00:00,616
2021-09-24 15:00:00,538
2021-09-24 16:00:00,509
2021-09-24 17:00:00,594
2021-09-24 18:00:00,542
2021-09-24 19:00:00,646
2021-09-24 20:00:00,741
2021-09-24 21:00:00,942
2021-09-24 22:00:00,869
2021-09-24 23:00:00,738
2021-09-25 00:00:00,498
2021-09-25 01:00:00,279
2021-09-25 02:00:00,167
2021-09-25 03:00:00,111
2021-09-25 04:00:00,93
2021-09-25 05:00:00,121
2021-09-25 06:00:00,230
2021-09-25 07:00:00,280
2021-09-25 08:00:00,396
2021-09-25 09:00:00,489
2021-09-25 10:00:00,564
2021-09-25 11:00:00,576
2021-09-25 12:00:00,578
2021-09-25 13:00:00,546
2021-09-25 14:00:00,580
2021-09-25 15:00:00,620
2021-09-25 16:00:00,574
2021-09-25 17:00:00,583
2021-09-25 18:00:00,531
2021-09-25 19:00:00,652
2021-09-25 20:00:00,719
2021-09-25 21:00:00,875
2021-09-25 22:00:00,826
2021-09-25 23:00:00,666
2021-09-26 00:00:00,472
2021-09-26 01:00:00,309
2021-09-26 02:00:00,211
2021-09-26 03:00:00,124
2021-09-26 04:00:00,130
2021-09-26 05:00:00,144
2021-09-26 06:00:00,180
2021-09-26 07:00:00,298
2021-09-26 08:00:00,427
2021-09-26 09:00:00,476
2021-09-26 10:00:00,512
2021-09-26 11:00:00,537
2021-09-26 12:00:00,583
2021-09-26 13:00:00,562
2021-09-26 14:00:00,560
2021-09-26 15:00:00,583
2021-09-26 16:00:00,537
2021-09-26 17:00:00,567
2021-09-26 18:00:00,552
2021-09-26 19:00:00,655
2021-09-26 20:00:00,718
2021-09-26 21:00:00,910
2021-09-26 22:00:00,815
2021-09-26 23:00:00,728
2021-09-27 00:00:00,522
2021-09-27 01:00:00,293
2021-09-27 02:00:00,159
2021-09-27 03:00:00,119
2021-09-27 04:00:00,110
2021-09-27 05:00:00,119
2021-09-27 06:00:00,178
2021-09-27 07:00:00,283
2021-09-27 08:00:00,376
2021-09-27 09:00:00,414
2021-09-27 10:00:00,483
2021-09-27 11:00:00,514
2021-09-27 12:00:00,594
2021-09-27 13:00:00,563
2021-09-27 14:00:00,524
2021-09-27 15:00:00,501
2021-09-27 16:00:00,523
2021-09-27 17:00:00,472
2021-09-27 18:00:00,543
2021-09-27 19:00:00,604
2021-09-27 20:00:00,729
2021-09-27 21:00:00,834
2021-09-27 22:00:00,884
2021-09-27 23:00:00,690
2021-09-28 00:00:00,445
2021-09-28 01:00:00,296
2021-09-28 02:00:00,161
2021-09-28 03:00:00,116
2021-09-28 04:00:00,105
2021-09-28 05:00:00,124
2021-09-28 06:00:00,208
2021-09-28 07:00:00,286
2021-09-28 08:00:00,415
2021-09-28 09:00:00,405
2021-09-28 10:00:00,484
2021-09-28 11:00:00,535
2021-09-28 12:00:00,570
2021-09-28 13:00:00,428
2021-09-28 14:00:00,480
2021-09-28 15:00:00,529
2021-09-28 16:00:00,519
2021-09-28 17:00:00,499
2021-09-28 18:00:00,444
2021-09-28 19:00:00,551
2021-09-28 20:00:00,760
2021-09-28 21:00:00,834
2021-09-28 22:00:00,889
2021-09-28 23:00:00,601
2021-09-29 00:00:00,440
2021-09-29 01:00:00,226
2021-09-29 02:00:00,175
2021-09-29 03:00:00,118
2021-09-29 04:00:00,98
2021-09-29 05:00:00,130
2021-09-29 06:00:00,184
2021-09-29 07:00:00,277
2021-09-29 08:00:00,379
2021-09-29 09:00:00,417
2021-09-29 10:00:00,497
2021-09-29 11:00:00,526
2021-09-29 12:00:00,548
2021-09-29 13:00:00,494
2021-09-29 14:00:00,493
2021-09-29 15:00:00,512
2021-09-29 16:00:00,457
2021-09-29 17:00:00,451
2021-09-29 18:00:00,406
2021-09-29 19:00:00,549
2021-09-29 20:00:00,618
2021-09-29 21:00:00,802
2021-09-29 22:00:00,810
2021-09-29 23:00:00,607
2021-09-30 00:00:00,418
2021-09-30 01:00:00,284
2021-09-30 02:00:00,153
2021-09-30 03:00:00,97
2021-09-30 04:00:00,101
2021-09-30 05:00:00,128
2021-09-30 06:00:00,185
2021-09-30 07:00:00,263
2021-09-30 08:00:00,352
2021-09-30 09:00:00,385
2021-09-30 10:00:00,414
2021-09-30 11:00:00,477
2021-09-30 12:00:00,541
2021-09-30 13:00:00,539
2021-09-30 14:00:00,467
2021-09-30 15:00:00,477
2021-09-30 16:00:00,409
2021-09-30 17:00:00,492
2021-09-30 18:00:00,381
2021-09-30 19:00:00,434
2021-09-30 20:00:00,532
2021-09-30 21:00:00,727
2021-09-30 22:00:00,708
2021-09-30 23:00:00,600
2021-10-01 00:00:00,389
2021-10-01 01:00:00,320
2021-10-01 02:00:00,173
2021-10-01 03:00:00,93
2021-10-01 04:00:00,94
2021-10-01 05:00:00,104
2021-10-01 06:00:00,172
2021-10-01 07:00:00,274
2021-10-01 08:00:00,342
2021-10-01 09:00:00,389
2021-10-01 10:00:00,463
2021-10-01 11:00:00,498
2021-10-01 12:00:00,473
2021-10-01 13:00:00,494
2021-10-01 14:00:00,518
2021-10-01 15:00:00,484
2021-10-01 16:00:00,512
2021-10-01 17:00:00,477
2021-10-01 18:00:00,447
2021-10-01 19:00:00,520
2021-10-01 20:00:00,655
2021-10-01 21:00:00,844
2021-10-01 22:00:00,796
2021-10-01 23:00:00,623
2021-10-02 00:00:00,431
2021-10-02 01:00:00,267
2021-10-02 02:00:00,177
2021-10-02 03:00:00,134
2021-10-02 04:00:00,75
2021-10-02 05:00:00,119
2021-10-02 06:00:00,199
2021-10-02 07:00:00,329
2021-10-02 08:00:00,377
2021-10-02 09:00:00,418
2021-10-02 10:00:00,539
2021-10-02 11:00:00,562
2021-10-02 12:00:00,579
2021-10-02 13:00:00,591
2021-10-02 14:00:00,562
2021-10-02 15:00:00,600
2021-10-02 16:00:00,593
2021-10-02 17:00:00,570
